ID	edad	genero	zona	grado	HHD	HHI	comp_HHD	comp_HHI	per.hog
1	18	1	1	10	152	1848	Uso.baño	Carne	3
2	11	1	1	6	117	1387	Uso.baño	Carne	2
3	11	1	1	6	276	567	Uso.baño	Carne	7
4	12	1	2	6	273	1356	Uso.baño	Carne	5
5	11	1	1	6	92	1344	Uso.baño	Carne	1
6	14	2	1	7	130.232142857143	1344	Uso.baño	Carne	7
7	12	2	1	7	102	961	Riego.jardin	Carne	4
8	15	2	1	7	93	1350	Uso.baño	Carne	2
9	13	2	1	7	56	812.840707964602	Uso.baño	Carne	6
10	14	2	2	7	98	573	Uso.baño	Carne	5
11	13	1	2	7	35	35	Uso.baño	Carne	6
12	12	1	2	7	169	586	Uso.baño	Carne	4
13	13	2	2	8	197	197	Uso.baño	Carne	6
14	13	2	2	8	96	1503	Uso.baño	Carne	4.94736842105263
15	13	2	2	8	87	420	Uso.baño	Carne	7
16	13	1	2	8	154	536	Uso.baño	Carne	2
17	13	1	1	8	241	629	Uso.baño	Carne	4
18	13	1	1	8	241	629	Uso.baño	Carne	4
19	13	1	1	8	76	812.840707964602	Uso.baño	Carne	3
20	13	1	2	8	133	1011	Uso.baño	Carne	3
21	12	2	2	7	48	432	Uso.baño	Carne	3
22	12	2	1	7	60	60	Uso.baño	Carne	4
23	16	2	2	7	63	955	Uso.baño	Carne	4
24	14	1	1	7	130.232142857143	210	Uso.baño	Frutas	4
25	12	1	1	7	129	426	Uso.baño	Carne	4
26	15	1	2	11	279	1378	Uso.baño	Carne	2
27	14	2	2	7	320	320	Uso.baño	Frutas	2
28	15	1	1	10	76	968	Uso.baño	Carne	3
29	16	1	1	10	149	827	Uso.baño	Carne	7
30	15	2	1	10	1	2	Uso.baño	Frutas	4.94736842105263
31	16	2	1	10	92	0	Uso.baño	Frutas	1
32	16	2	2	11	19	413	Uso.baño	Carne	3
33	18	1	2	11	274	388	Uso.baño	Carne	4
34	17	2	1	10	94	3	Uso.baño	Carne	6
35	14	1	1	9	25	1522	Uso.baño	Carne	3
36	14	1	2	9	105	1782	Uso.baño	Carne	3
37	14	1	1	9	209	2631	Uso.baño	Carne	4
38	17	2	1	11	154	368	Uso.baño	Carne	2
39	17	2	1	10	154	164	Uso.baño	Carne	2
40	14	1	1	8	83	131	Uso.baño	Frutas	8
41	13	2	1	8	41	1306	Uso.baño	Carne	2
42	20	2	1	10	130.232142857143	37	Uso.baño	Frutas	2
43	19	1	1	9	109	968	Uso.cocina	Carne	5
44	13	2	1	8	88	617	Uso.baño	Carne	4
45	14	2	1	8	211	768	Uso.baño	Carne	5
46	15	2	2	7	188	1177	Uso.baño	Carne	5
47	12	2	1	7	120	444	Uso.baño	Carne	9
48	14	2	2	7	49	204	Uso.baño	Carne	4.94736842105263
49	15	1	2	7	64	812.840707964602	Uso.baño	Carne	5
50	13	2	1	7	91	961	Uso.baño	Carne	4
51	12	1	1	7	23	438	Uso.baño	Carne	4
52	12	2	2	7	31	6	Uso.baño	Frutas	4
53	14	1	1	7	61	1553	Uso.baño	Carne	3
